geoid,name,population
05000US19001,"Adair County, IA",7543
05000US19003,"Adams County, IA",3937
05000US19005,"Allamakee County, IA",14152
05000US19007,"Appanoose County, IA",12754
05000US19009,"Audubon County, IA",5935
05000US19011,"Benton County, IA",25895
05000US19013,"Black Hawk County, IA",131947
05000US19015,"Boone County, IA",26326
05000US19017,"Bremer County, IA",24481
05000US19019,"Buchanan County, IA",20947
05000US19021,"Buena Vista County, IA",20460
05000US19023,"Butler County, IA",14966
05000US19025,"Calhoun County, IA",9980
05000US19027,"Carroll County, IA",20702
05000US19029,"Cass County, IA",13694
05000US19031,"Cedar County, IA",18434
05000US19033,"Cerro Gordo County, IA",43707
05000US19035,"Cherokee County, IA",11982
05000US19037,"Chickasaw County, IA",12329
05000US19039,"Clarke County, IA",9284
05000US19041,"Clay County, IA",16555
05000US19043,"Clayton County, IA",17900
05000US19045,"Clinton County, IA",48663
05000US19047,"Crawford County, IA",17259
05000US19049,"Dallas County, IA",72124
05000US19051,"Davis County, IA",8765
05000US19053,"Decatur County, IA",8286
05000US19055,"Delaware County, IA",17578
05000US19057,"Des Moines County, IA",40265
05000US19059,"Dickinson County, IA",16877
05000US19061,"Dubuque County, IA",95166
05000US19063,"Emmet County, IA",10068
05000US19065,"Fayette County, IA",20693
05000US19067,"Floyd County, IA",16153
05000US19069,"Franklin County, IA",10572
05000US19071,"Fremont County, IA",7200
05000US19073,"Greene County, IA",9232
05000US19075,"Grundy County, IA",12403
05000US19077,"Guthrie County, IA",10794
05000US19079,"Hamilton County, IA",15363
05000US19081,"Hancock County, IA",11175
05000US19083,"Hardin County, IA",17406
05000US19085,"Harrison County, IA",14600
05000US19087,"Henry County, IA",20197
05000US19089,"Howard County, IA",9529
05000US19091,"Humboldt County, IA",9731
05000US19093,"Ida County, IA",7085
05000US19095,"Iowa County, IA",16316
05000US19097,"Jackson County, IA",19656
05000US19099,"Jasper County, IA",36715
05000US19101,"Jefferson County, IA",17102
05000US19103,"Johnson County, IA",136802
05000US19105,"Jones County, IA",20607
05000US19107,"Keokuk County, IA",10361
05000US19109,"Kossuth County, IA",15347
05000US19111,"Lee County, IA",35552
05000US19113,"Linn County, IA",214927
05000US19115,"Louisa County, IA",11305
05000US19117,"Lucas County, IA",8785
05000US19119,"Lyon County, IA",11680
05000US19121,"Madison County, IA",15629
05000US19123,"Mahaska County, IA",22420
05000US19125,"Marion County, IA",33308
05000US19127,"Marshall County, IA",40922
05000US19129,"Mills County, IA",14946
05000US19131,"Mitchell County, IA",10744
05000US19133,"Monona County, IA",9149
05000US19135,"Monroe County, IA",8019
05000US19137,"Montgomery County, IA",10549
05000US19139,"Muscatine County, IA",42857
05000US19141,"O'Brien County, IA",14173
05000US19143,"Osceola County, IA",6279
05000US19145,"Page County, IA",15737
05000US19147,"Palo Alto County, IA",9263
05000US19149,"Plymouth County, IA",24899
05000US19151,"Pocahontas County, IA",7191
05000US19153,"Polk County, IA",445136
05000US19155,"Pottawattamie County, IA",93153
05000US19157,"Poweshiek County, IA",18765
05000US19159,"Ringgold County, IA",5082
05000US19161,"Sac County, IA",10162
05000US19163,"Scott County, IA",168714
05000US19165,"Shelby County, IA",12034
05000US19167,"Sioux County, IA",34261
05000US19169,"Story County, IA",91939
05000US19171,"Tama County, IA",17568
05000US19173,"Taylor County, IA",6225
05000US19175,"Union County, IA",12554
05000US19177,"Van Buren County, IA",7487
05000US19179,"Wapello County, IA",35406
05000US19181,"Warren County, IA",47058
05000US19183,"Washington County, IA",21906
05000US19185,"Wayne County, IA",6385
05000US19187,"Webster County, IA",37399
05000US19189,"Winnebago County, IA",10645
05000US19191,"Winneshiek County, IA",20957
05000US19193,"Woodbury County, IA",102372
05000US19195,"Worth County, IA",7567
05000US19197,"Wright County, IA",13007
